#Vectors,Predition,Ground truth
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,1,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,2,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-versicolor
32,1,Iris-versicolor
32,2,Iris-versicolor
32,1,Iris-versicolor
32,0,Iris-virginica
32,0,Iris-virginica
32,2,Iris-virginica
32,0,Iris-virginica
32,0,Iris-versicolor
32,0,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,0,Iris-virginica
32,0,Iris-virginica
32,2,Iris-virginica
32,0,Iris-virginica
32,0,Iris-setosa
32,0,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,0,Iris-virginica
32,2,Iris-virginica
32,0,Iris-virginica
32,1,Iris-virginica
32,0,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,1,Iris-versicolor
32,2,Iris-versicolor
32,1,Iris-versicolor
32,2,Iris-versicolor
32,0,Iris-virginica
32,0,Iris-virginica
32,1,Iris-virginica
32,0,Iris-virginica
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,1,Iris-setosa
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,2,Iris-versicolor
32,0,Iris-virginica
32,0,Iris-virginica
32,1,Iris-virginica
32,1,Iris-virginica
32,2,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,0,Iris-setosa
32,0,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,2,Iris-virginica
32,1,Iris-virginica
32,1,Iris-virginica
32,1,Iris-virginica
32,0,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,0,Iris-virginica
32,2,Iris-virginica
32,1,Iris-virginica
32,2,Iris-virginica
32,0,Iris-virginica
32,0,Iris-virginica
32,2,Iris-virginica
32,0,Iris-virginica
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,2,Iris-versicolor
32,1,Iris-versicolor
32,2,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,0,Iris-virginica
32,1,Iris-virginica
32,2,Iris-virginica
32,2,Iris-virginica
32,2,Iris-virginica
32,1,Iris-virginica
32,1,Iris-virginica
32,1,Iris-virginica
32,0,Iris-setosa
32,2,Iris-setosa
32,1,Iris-setosa
32,0,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,1,Iris-setosa
32,0,Iris-virginica
32,2,Iris-virginica
32,1,Iris-virginica
32,0,Iris-virginica
32,0,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,2,Iris-setosa
32,2,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,2,Iris-versicolor
32,2,Iris-versicolor
32,2,Iris-versicolor
32,2,Iris-versicolor
32,0,Iris-virginica
32,2,Iris-virginica
32,2,Iris-virginica
32,2,Iris-virginica
32,0,Iris-virginica
32,0,Iris-virginica
32,2,Iris-virginica
32,2,Iris-virginica
32,0,Iris-virginica
32,0,Iris-virginica
32,2,Iris-virginica
32,0,Iris-virginica
32,2,Iris-versicolor
32,2,Iris-versicolor
32,2,Iris-versicolor
32,2,Iris-versicolor
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,2,Iris-virginica
32,1,Iris-virginica
32,2,Iris-virginica
32,2,Iris-virginica
32,2,Iris-virginica
32,1,Iris-virginica
32,1,Iris-virginica
32,2,Iris-virginica
32,2,Iris-versicolor
32,2,Iris-versicolor
32,1,Iris-versicolor
32,2,Iris-versicolor
32,0,Iris-virginica
32,2,Iris-virginica
32,2,Iris-virginica
32,0,Iris-virginica
32,0,Iris-versicolor
32,0,Iris-versicolor
32,0,Iris-versicolor
32,0,Iris-versicolor
32,2,Iris-virginica
32,0,Iris-virginica
32,2,Iris-virginica
32,0,Iris-virginica
32,0,Iris-virginica
32,0,Iris-virginica
32,2,Iris-virginica
32,0,Iris-virginica
32,0,Iris-virginica
32,2,Iris-virginica
32,1,Iris-virginica
32,0,Iris-virginica
32,1,Iris-versicolor
32,2,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,0,Iris-setosa
32,2,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,1,Iris-setosa
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,0,Iris-setosa
32,0,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,1,Iris-versicolor
32,1,Iris-versicolor
32,2,Iris-versicolor
32,1,Iris-versicolor
32,2,Iris-virginica
32,2,Iris-virginica
32,1,Iris-virginica
32,0,Iris-virginica
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,2,Iris-setosa
32,2,Iris-virginica
32,2,Iris-virginica
32,1,Iris-virginica
32,0,Iris-virginica
32,1,Iris-versicolor
32,1,Iris-versicolor
32,2,Iris-versicolor
32,1,Iris-versicolor
32,0,Iris-setosa
32,2,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,0,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,0,Iris-versicolor
32,0,Iris-virginica
32,2,Iris-virginica
32,2,Iris-virginica
32,2,Iris-virginica
32,2,Iris-versicolor
32,2,Iris-versicolor
32,0,Iris-versicolor
32,1,Iris-versicolor
32,0,Iris-setosa
32,0,Iris-setosa
32,2,Iris-setosa
32,1,Iris-setosa
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,2,Iris-versicolor
32,0,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-setosa
32,0,Iris-virginica
32,2,Iris-virginica
32,1,Iris-virginica
32,0,Iris-virginica
32,2,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,2,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,0,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,2,Iris-versicolor
32,2,Iris-virginica
32,1,Iris-virginica
32,2,Iris-virginica
32,2,Iris-virginica
32,0,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,1,Iris-setosa
32,0,Iris-virginica
32,2,Iris-virginica
32,2,Iris-virginica
32,2,Iris-virginica
32,0,Iris-virginica
32,2,Iris-virginica
32,0,Iris-virginica
32,0,Iris-virginica
32,1,Iris-versicolor
32,2,Iris-versicolor
32,1,Iris-versicolor
32,1,Iris-versicolor
32,0,Iris-setosa
32,2,Iris-setosa
32,2,Iris-setosa
32,0,Iris-setosa
32,0,Iris-virginica
32,0,Iris-virginica
32,0,Iris-virginica
